tool,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
coderabbit,476,538,776,907,938,872,1217,892,376,479,450,636
cubic,2,2,4,138,449,693,557,461,577,787,675,674
devin,45,7,73,180,224,195,303,216,184,104,122,141
cursor,5,3,4,4,8,23,34,73,164,253,487,237
claude,2,3,17,29,17,47,63,78,103,188,146,262
copilot,14,7,8,25,32,24,72,76,93,105,118,142
greptile,5,26,16,18,28,30,55,61,70,77,49,32
chatgpt,8,8,7,8,7,21,11,36,51,52,40,50
gemini,0,0,0,0,2,0,0,0,45,35,58,47
ellipsis,8,4,8,7,12,10,14,11,14,3,4,3
codegen,0,0,1,3,10,4,2,2,7,3,1,0
mintlify,2,2,0,0,0,0,0,2,4,6,5,3
