team,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AFFiNE,0.8,0.2,0.4,21.2,78.6,80.1,87.4,93.6,63.8,70.7,89.7,84.9
Activepieces,0.5,0.7,1.7,5.8,0.3,0.0,1.3,2.5,1.8,0.6,2.3,3.1
Antiwork,,,40.3,27.7,74.2,95.7,94.5,66.8,26.0,35.9,39.9,52.2
Appsmith,85.5,85.3,86.7,84.4,60.6,69.2,59.7,50.0,57.1,59.6,68.0,62.9
Budibase,0.0,0.0,0.9,1.2,0.0,2.7,2.0,5.2,1.0,2.0,0.9,14.1
Cal.com,22.9,24.6,27.3,14.6,44.9,78.8,58.5,21.1,24.9,49.6,62.7,62.0
Chatwoot,,,,,,,,9.5,4.7,3.6,8.0,6.8
Comp AI,0.0,64.9,91.2,27.4,0.0,2.7,0.0,1.3,0.0,0.0,1.4,1.9
Coolify,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.3,19.9,28.1,9.2
Deno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.6,4.3,0.0
Dify,3.8,0.5,0.2,0.9,0.3,1.3,0.4,2.3,1.6,0.8,1.5,2.9
Directus,0.0,0.0,0.0,0.0,0.0,3.9,21.3,2.0,0.0,5.9,6.5,3.2
Documenso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,4.2
Dub,0.0,0.0,0.7,1.5,19.7,96.9,95.0,91.6,94.4,96.3,95.7,92.5
Erxes,44.2,35.1,40.0,64.0,58.1,69.2,92.0,87.0,92.6,81.3,82.8,81.8
Excalidraw,2.0,0.0,0.0,3.4,18.2,14.6,5.3,0.0,0.0,1.5,9.3,3.8
FastAPI Team,0.0,0.0,1.3,0.0,0.0,0.0,0.0,4.5,2.7,0.0,0.0,1.5
Flowise,0.0,4.1,1.8,6.7,1.3,0.0,0.0,1.8,13.7,22.7,3.0,3.4
Formbricks,90.5,85.1,59.1,47.7,66.4,85.6,80.6,0.0,2.1,3.0,3.7,1.0
Ghost,15.8,0.0,0.0,0.5,0.4,0.2,0.9,0.6,5.0,6.4,31.2,22.5
GrowthBook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huly,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyperswitch,0.0,0.0,0.0,0.0,2.8,11.4,3.8,0.5,0.0,0.6,0.0,2.6
Infisical,0.0,44.7,94.0,92.7,19.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0
LangChain,1.8,3.3,2.8,2.8,1.4,3.6,4.7,5.5,3.6,4.5,5.7,7.5
LobeChat,1.3,3.5,3.4,2.9,3.6,5.1,0.0,9.3,6.2,11.9,20.5,24.3
Matomo,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.0,1.3,0.0,0.0
Mattermost,1.4,4.0,9.1,8.7,3.2,5.1,4.5,1.6,1.7,0.6,6.3,2.0
Neon,0.0,0.0,0.8,1.5,1.7,0.4,0.0,0.0,0.0,16.7,0.0,0.0
Novu,0.0,0.0,0.0,0.5,16.5,26.2,16.6,17.2,23.6,25.9,22.0,19.7
Ollama,1.2,1.0,0.6,0.0,0.7,1.1,1.0,0.8,0.9,0.6,1.3,2.3
Open WebUI,1.4,2.0,1.3,0.7,1.2,2.3,0.8,5.1,3.4,4.0,5.1,3.1
OpenReplay,26.3,13.9,23.8,54.0,51.5,33.3,47.7,42.5,11.1,0.0,0.8,0.7
Outline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.4,1.6,12.4
Penpot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Plane,74.3,90.7,90.4,91.3,92.9,83.3,87.1,90.7,83.3,90.6,93.8,75.8
Plausible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.2,0.0,0.0
Polar.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.6,5.9,5.7,5.1,2.8
PostHog Analytics,0.9,1.0,0.6,0.0,0.0,1.0,0.8,1.0,0.7,4.1,3.6,4.4
Resend,0.0,0.0,2.3,0.6,0.0,0.0,0.0,37.5,72.4,80.7,83.0,88.9
Saleor,2.8,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.5,1.2,0.0,0.0
SigNoz,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2.6,11.6,51.0,53.3
Strapi,1.0,1.1,0.0,0.0,1.9,0.0,0.9,0.0,3.4,1.9,1.1,1.5
Supabase,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4,3.0,1.3,5.8,41.7
ToolJet,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.5,0.6
Trigger.dev,71.7,84.0,91.0,89.1,53.4,1.4,1.0,0.8,2.0,5.5,3.6,4.5
Twenty CRM,0.0,0.4,0.0,0.8,0.3,2.9,1.1,0.2,0.7,0.6,3.7,2.9
Vercel,0.0,2.4,3.5,3.0,3.2,6.0,4.5,7.0,6.1,2.3,4.5,5.7
Webstudio,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,3.7
Zitadel,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.3,2.3,4.0,4.7,2.7
n8n,0.6,0.6,0.0,0.5,1.8,1.6,1.8,4.2,7.5,11.6,30.4,1.8
