org_public_slug,org_display_name,org_industry,org_description,org_github_org_url,org_logo_url,team_slug,team_name,org_is_public,repo_github_repo,repo_slug,repo_display_name,repo_description,repo_github_url,is_flagship,repo_is_public,sync_enabled,insights_enabled,initial_backfill_days,display_order
polar,Polar.sh,billing,"Billing, memberships, and product operations platform.",https://github.com/polarsource,https://github.com/polarsource.png,polar-demo,Polar.sh,false,polarsource/polar,polar,polar,,https://github.com/polarsource/polar,true,true,true,false,180,0
polar,Polar.sh,billing,"Billing, memberships, and product operations platform.",https://github.com/polarsource,https://github.com/polarsource.png,polar-demo,Polar.sh,false,polarsource/polar-adapters,polar-adapters,polar-adapters,,https://github.com/polarsource/polar-adapters,false,true,true,false,180,1
polar,Polar.sh,billing,"Billing, memberships, and product operations platform.",https://github.com/polarsource,https://github.com/polarsource.png,polar-demo,Polar.sh,false,polarsource/polar-python,polar-python,polar-python,,https://github.com/polarsource/polar-python,false,true,true,false,180,2
polar,Polar.sh,billing,"Billing, memberships, and product operations platform.",https://github.com/polarsource,https://github.com/polarsource.png,polar-demo,Polar.sh,false,polarsource/polar-js,polar-js,polar-js,,https://github.com/polarsource/polar-js,false,true,true,false,180,3
posthog,PostHog,analytics,"Product analytics, feature flags, and developer platform.",https://github.com/PostHog,https://github.com/PostHog.png,posthog-demo,PostHog Analytics,false,PostHog/posthog,posthog,posthog,,https://github.com/PostHog/posthog,true,true,true,false,180,0
posthog,PostHog,analytics,"Product analytics, feature flags, and developer platform.",https://github.com/PostHog,https://github.com/PostHog.png,posthog-demo,PostHog Analytics,false,PostHog/posthog.com,posthog-com,posthog.com,,https://github.com/PostHog/posthog.com,false,true,true,false,180,1
posthog,PostHog,analytics,"Product analytics, feature flags, and developer platform.",https://github.com/PostHog,https://github.com/PostHog.png,posthog-demo,PostHog Analytics,false,PostHog/posthog-js,posthog-js,posthog-js,,https://github.com/PostHog/posthog-js,false,true,true,false,180,2
posthog,PostHog,analytics,"Product analytics, feature flags, and developer platform.",https://github.com/PostHog,https://github.com/PostHog.png,posthog-demo,PostHog Analytics,false,PostHog/posthog-python,posthog-python,posthog-python,,https://github.com/PostHog/posthog-python,false,true,true,false,180,3
anthropic,Anthropic,ai_llm,"Model APIs, agent tooling, and developer SDKs.",https://github.com/anthropics,https://github.com/anthropics.png,anthropic-demo,Anthropic,false,anthropics/claude-code,claude-code,claude-code,,https://github.com/anthropics/claude-code,true,true,true,false,180,0
anthropic,Anthropic,ai_llm,"Model APIs, agent tooling, and developer SDKs.",https://github.com/anthropics,https://github.com/anthropics.png,anthropic-demo,Anthropic,false,anthropics/anthropic-sdk-typescript,anthropic-sdk-typescript,anthropic-sdk-typescript,,https://github.com/anthropics/anthropic-sdk-typescript,false,true,true,false,180,1
anthropic,Anthropic,ai_llm,"Model APIs, agent tooling, and developer SDKs.",https://github.com/anthropics,https://github.com/anthropics.png,anthropic-demo,Anthropic,false,anthropics/anthropic-sdk-python,anthropic-sdk-python,anthropic-sdk-python,,https://github.com/anthropics/anthropic-sdk-python,false,true,true,false,180,2
calcom,Cal.com,scheduling,Open source scheduling infrastructure.,https://github.com/calcom,https://github.com/calcom.png,calcom-demo,Cal.com,false,calcom/cal.com,cal-com,cal.com,,https://github.com/calcom/cal.com,true,true,true,false,180,0
