tool,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
coderabbit,477,538,776,913,939,872,1217,892,376,479,450,861
cubic,2,2,4,138,492,714,912,783,931,1059,880,927
devin,45,7,73,180,224,195,303,216,184,104,122,141
cursor,5,5,4,4,8,24,35,77,168,255,490,265
claude,2,5,22,32,19,51,72,93,114,202,180,362
copilot,16,9,9,25,32,24,74,79,93,107,120,170
greptile,5,26,16,18,28,30,55,61,70,77,49,34
chatgpt,10,10,10,10,9,26,13,49,62,58,42,59
gemini,0,1,0,1,2,0,1,0,45,35,58,47
ellipsis,8,4,8,7,12,10,14,11,14,3,4,3
codegen,0,0,1,3,10,4,2,2,7,3,1,0
claude_code,0,0,0,0,0,2,1,1,2,3,6,17
