team,total_prs,ai_prs,ai_pct,cycle_delta_pct,review_delta_pct,size_delta_pct
Rallly,525,471,89.7,101,900,-76
Plane,1717,1470,85.6,75,-14,-88
Appsmith,1431,1103,77.1,72,-50,-79
Erxes,557,392,70.4,-14,,-88
Spree Commerce,1007,632,62.8,103,-23,-56
Continue,3127,1802,57.6,-23,-67,74
Antiwork,4152,2350,56.6,-9,-60,4
Dub,1354,758,56.0,22,-37,-63
Formbricks,1669,783,46.9,34,-23,-58
Cal.com,5669,2287,40.3,5,-1,-25
Resend,974,358,36.8,-66,-96,-66
Trigger.dev,1054,374,35.5,-6,-57,21
AFFiNE,3426,1152,33.6,61,-27,-31
Rocket.Chat,2648,824,31.1,-0,4,-93
OpenReplay,1122,238,21.2,-93,-99,-81
Infisical,1694,347,20.5,34,68,-54
Novu,2175,293,13.5,-39,-26,-82
Comp AI,1699,220,12.9,-83,-94,-4
ERPNext,3040,357,11.7,58,-27,-8
Supabase,2926,320,10.9,86,83,-84
LobeChat,2710,269,9.9,-75,-99,-40
Netdata,1945,189,9.7,-59,-86,5
Coolify,1177,110,9.3,-85,-96,-46
Nuxt,1616,138,8.5,12,-51,469
SigNoz,1800,143,7.9,87,295,-12
n8n,6124,393,6.4,116,-43,-73
Chatwoot,530,32,6.0,83,-46,-84
Excalidraw,724,37,5.1,327,-65,102
Windmill,1999,102,5.1,11,32,-52
Ghost,3583,176,4.9,178,116,-9
Directus,990,40,4.0,4,-38,354
Vercel,6167,249,4.0,-7,-6,-55
LangChain,5358,215,4.0,72,1,-47
Flowise,703,28,4.0,-37,-24,-69
Mattermost,2916,115,3.9,75,119,-17
Polar.sh,3265,86,2.6,-58,-91,-77
Open WebUI,3310,86,2.6,158,-94,-68
PostHog Analytics,6385,157,2.5,11,-17,48
Budibase,1275,30,2.4,20,33,3
Flagsmith,958,21,2.2,322,221,279
Jan,1630,30,1.8,-2,-69,111
QuestDB,880,16,1.8,-13,-49,60
Hyperswitch,2432,44,1.8,78,-23,-64
AppFlowy,610,11,1.8,-15,24,-75
Activepieces,3135,52,1.7,14,-60,106
Outline,1515,25,1.7,-29,-95,655
Zitadel,1103,16,1.5,69,127,-84
Dify,5156,71,1.4,-23,-17,-10
Unleash,2023,25,1.2,-72,-94,18966
Twenty CRM,5217,61,1.2,86,-69,10
Strapi,1120,12,1.1,-37,-71,-59
Grafana,2360,23,1.0,13,-15,-82
Ollama,1598,15,0.9,-88,266,-77
Svelte,2070,19,0.9,103,-80,71
Documenso,513,4,0.8,-100,,-97
FastAPI Team,923,7,0.8,-51,-66,419
Saleor,1402,9,0.6,-32,7,-81
Neon,2176,13,0.6,-2,-90,-81
Deno,2664,14,0.5,20,24,-86
Webstudio,664,3,0.5,,401,-5
Matomo,697,3,0.4,285,159,-9
Payload CMS,2669,10,0.4,-90,-47,-30
NocoDB,1731,6,0.3,-56,-99,-8
Traefik,625,2,0.3,-99,38,-94
Astro,1312,4,0.3,-63,-67,90
SurrealDB,882,2,0.2,-44,-19,-93
Plausible,905,2,0.2,44,172,-29
Laravel,3122,6,0.2,173,16,-73
ToolJet,2555,4,0.2,,-99,-66
Keycloak,3870,5,0.1,-6,92,-61
Zulip,3537,3,0.1,-84,,-98
Huly,2072,1,0.0,649,1756,-82
Penpot,2090,1,0.0,-91,-89,-100
GrowthBook,1203,0,0.0,,,
